partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
CDU/CSU;Wahlprogramm;44;14.9;2;0;0;42;1.0;0.869;0;0.0
CDU/CSU;01.01.-31.03.2022;73;24.7;12;5;9;47;0.635;0.8;1;1.4
CDU/CSU;01.10.-31.12.2023;39;13.2;10;0;0;29;1.0;0.857;0;0.0
CDU/CSU;01.10.-15.12.2024;39;13.2;4;0;1;34;0.9;0.826;0;0.0
CDU/CSU;01.01.-23.02.2025;5;1.7;0;0;1;4;0.5;0.79;0;0.0
CDU/CSU;01.05.-31.07.2025;96;32.4;10;0;8;78;0.778;0.808;2;2.1
