partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
Grüne;Wahlprogramm;33;17.1;1;1;1;30;0.5;0.838;0;0.0
Grüne;01.01.-31.03.2022;50;25.9;7;4;4;35;0.6;0.81;1;2.0
Grüne;01.10.-31.12.2023;31;16.1;5;0;2;24;0.857;0.819;0;0.0
Grüne;01.10.-15.12.2024;41;21.2;7;0;6;28;0.769;0.818;1;2.4
Grüne;01.01.-23.02.2025;6;3.1;1;0;0;5;1.0;0.725;1;16.7
Grüne;01.05.-31.07.2025;32;16.6;2;1;3;26;0.583;0.789;1;3.1
