partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
Linke;Wahlprogramm;118;50.0;3;9;3;103;0.3;0.859;0;0.0
Linke;01.01.-31.03.2022;25;10.6;1;6;1;17;0.188;0.836;0;0.0
Linke;01.10.-31.12.2023;37;15.7;4;7;1;25;0.375;0.844;0;0.0
Linke;01.10.-15.12.2024;18;7.6;0;6;0;12;0.0;0.821;0;0.0
Linke;01.01.-23.02.2025;1;0.4;0;1;0;0;0.0;0.82;0;0.0
Linke;01.05.-31.07.2025;37;15.7;4;10;1;22;0.3;0.833;0;0.0
