partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
SPD;Wahlprogramm;55;8.9;1;6;3;45;0.25;0.855;0;0.0
SPD;01.01.-31.03.2022;102;16.5;6;8;9;79;0.457;0.83;4;3.9
SPD;01.10.-31.12.2023;153;24.7;14;11;8;120;0.545;0.821;2;1.3
SPD;01.10.-15.12.2024;156;25.2;7;13;9;127;0.397;0.84;2;1.3
SPD;01.01.-23.02.2025;23;3.7;4;6;0;13;0.4;0.829;0;0.0
SPD;01.05.-31.07.2025;131;21.1;6;13;10;102;0.379;0.812;2;1.5
