partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
Linke;Wahlprogramm;76;46.6;1;3;0;72;0.25;0.871;0;0.0
Linke;01.01.-31.03.2022;18;11.0;1;5;0;12;0.167;0.823;0;0.0
Linke;01.10.-31.12.2023;26;16.0;0;7;1;18;0.062;0.822;0;0.0
Linke;01.10.-15.12.2024;11;6.7;0;1;0;10;0.0;0.826;0;0.0
Linke;01.01.-23.02.2025;4;2.5;0;1;0;3;0.0;0.825;0;0.0
Linke;01.05.-31.07.2025;28;17.2;0;6;0;22;0.0;0.823;0;0.0
