partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
AfD;Wahlprogramm;70;42.4;7;6;6;51;0.526;0.828;0;0.0
AfD;01.01.-31.03.2022;12;7.3;2;2;0;8;0.5;0.805;0;0.0
AfD;01.10.-31.12.2023;31;18.8;9;3;3;16;0.7;0.753;0;0.0
AfD;01.10.-15.12.2024;21;12.7;4;1;1;15;0.75;0.832;1;4.8
AfD;01.01.-23.02.2025;2;1.2;0;0;0;2;;0.96;0;0.0
AfD;01.05.-31.07.2025;29;17.6;6;4;0;19;0.6;0.772;0;0.0
