partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
Grüne;Wahlprogramm;56;35.2;1;4;1;50;0.25;0.85;0;0.0
Grüne;01.01.-31.03.2022;16;10.1;0;5;1;10;0.083;0.828;0;0.0
Grüne;01.10.-31.12.2023;38;23.9;1;10;0;27;0.091;0.854;0;0.0
Grüne;01.10.-15.12.2024;21;13.2;1;3;2;15;0.333;0.863;0;0.0
Grüne;01.01.-23.02.2025;5;3.1;0;1;0;4;0.0;0.862;0;0.0
Grüne;01.05.-31.07.2025;23;14.5;0;5;0;18;0.0;0.871;0;0.0
