partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
AfD;Wahlprogramm;29;21.5;1;2;0;26;0.333;0.847;0;0.0
AfD;01.01.-31.03.2022;31;23.0;2;10;2;17;0.214;0.828;0;0.0
AfD;01.10.-31.12.2023;16;11.9;0;8;0;8;0.0;0.807;0;0.0
AfD;01.10.-15.12.2024;16;11.9;0;6;0;10;0.0;0.799;0;0.0
AfD;01.01.-23.02.2025;3;2.2;0;0;0;3;;0.727;0;0.0
AfD;01.05.-31.07.2025;40;29.6;0;6;0;34;0.0;0.842;0;0.0
