partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
Linke;Wahlprogramm;24;36.4;0;13;0;11;0.0;0.825;0;0.0
Linke;01.01.-31.03.2022;10;15.2;0;6;0;4;0.0;0.811;0;0.0
Linke;01.10.-31.12.2023;5;7.6;0;4;0;1;0.0;0.798;0;0.0
Linke;01.10.-15.12.2024;7;10.6;0;4;0;3;0.0;0.801;0;0.0
Linke;01.01.-23.02.2025;1;1.5;0;1;0;0;0.0;0.92;0;0.0
Linke;01.05.-31.07.2025;19;28.8;0;9;0;10;0.0;0.854;0;0.0
