partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
Linke;Wahlprogramm;21;38.9;0;16;0;5;0.0;0.787;0;0.0
Linke;01.01.-31.03.2022;2;3.7;0;1;0;1;0.0;0.65;0;0.0
Linke;01.10.-31.12.2023;8;14.8;0;8;0;0;0.0;0.789;0;0.0
Linke;01.10.-15.12.2024;7;13.0;0;6;1;0;0.071;0.754;0;0.0
Linke;01.01.-23.02.2025;2;3.7;0;2;0;0;0.0;0.84;0;0.0
Linke;01.05.-31.07.2025;14;25.9;1;10;3;0;0.179;0.771;0;0.0
