partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
CDU/CSU;Wahlprogramm;17;10.6;12;1;1;3;0.893;0.783;0;0.0
CDU/CSU;01.01.-31.03.2022;10;6.2;5;2;3;0;0.65;0.669;0;0.0
CDU/CSU;01.10.-31.12.2023;44;27.3;34;5;5;0;0.83;0.766;0;0.0
CDU/CSU;01.10.-15.12.2024;28;17.4;20;3;4;1;0.815;0.78;1;3.6
CDU/CSU;01.01.-23.02.2025;11;6.8;10;0;0;1;1.0;0.842;0;0.0
CDU/CSU;01.05.-31.07.2025;51;31.7;41;5;4;1;0.86;0.784;2;3.9
