partei;zeitraum;Anzahl_Segmente;Anteil an Gesamt in %;Anzahl_positiv;Anzahl_negativ;Anzahl_neutral_echt;Anzahl_irrelevant;Netto_Haltung;Ø-Confidence;Anzahl_Low_Confidence;Anteil_Low_Confidence in %
AfD;Wahlprogramm;104;46.2;73;7;13;11;0.855;0.784;1;1.0
AfD;01.01.-31.03.2022;9;4.0;7;2;0;0;0.778;0.756;0;0.0
AfD;01.10.-31.12.2023;29;12.9;25;4;0;0;0.862;0.806;0;0.0
AfD;01.10.-15.12.2024;26;11.6;18;2;6;0;0.808;0.768;1;3.8
AfD;01.01.-23.02.2025;11;4.9;7;2;2;0;0.727;0.771;1;9.1
AfD;01.05.-31.07.2025;46;20.4;37;5;4;0;0.848;0.813;1;2.2
